kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	org.springframework.boot.BootstrapRegistry$InstanceSupplier	get(org.springframework.boot.BootstrapContext)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BootstrapRegistry.java	RETURN_NULLABLE	nullable	org.springframework.boot.BootstrapRegistry$InstanceSupplier	<T>from(java.util.function.Supplier<T>)
METHOD	org.springframework.boot.LazyInitializationBeanFactoryPostProcessor	getBeanType(org.springframework.beans.factory.config.ConfigurableListableBeanFactory,java.lang.String)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/LazyInitializationBeanFactoryPostProcessor.java	RETURN_NULLABLE	nullable	org.springframework.boot.LazyInitializationBeanFactoryPostProcessor	getBeanType(org.springframework.beans.factory.config.ConfigurableListableBeanFactory,java.lang.String)
FIELD	org.springframework.boot.SpringApplication	null	banner	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	beanNameGenerator	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	environment	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	initializers	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	listeners	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	defaultProperties	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	environmentPrefix	null	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
PARAMETER	org.springframework.boot.SpringApplication	SpringApplication(org.springframework.core.io.ResourceLoader,java.lang.Class<?>...)	resourceLoader	0	/Users/nima/Developer/NullAwayFixer/Projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	PASS_NULLABLE	nullable	org.springframework.boot.SpringApplication	SpringApplication(java.lang.Class<?>...)
