kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	org.springframework.boot.builder.SpringApplicationBuilder	null	context	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/builder/SpringApplicationBuilder.java	METHOD_NO_INIT	nullable	org.springframework.boot.builder.SpringApplicationBuilder	null
FIELD	org.springframework.boot.builder.SpringApplicationBuilder	null	environment	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/builder/SpringApplicationBuilder.java	METHOD_NO_INIT	nullable	org.springframework.boot.builder.SpringApplicationBuilder	null
FIELD	org.springframework.boot.SpringApplication	null	mainApplicationClass	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	banner	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	initializers	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	listeners	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	defaultProperties	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	environmentPrefix	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	METHOD_NO_INIT	nullable	org.springframework.boot.SpringApplication	null
FIELD	org.springframework.boot.SpringApplication	null	mainApplicationClass	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	ASSIGN_FIELD_NULLABLE	nullable	org.springframework.boot.SpringApplication	SpringApplication(org.springframework.core.io.ResourceLoader,java.lang.Class<?>...)
PARAMETER	org.springframework.boot.SpringApplication	handleRunFailure(org.springframework.context.ConfigurableApplicationContext,java.lang.Throwable,org.springframework.boot.SpringApplicationRunListeners)	context	0	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	PASS_NULLABLE	nullable	org.springframework.boot.SpringApplication	run(java.lang.String...)
METHOD	org.springframework.boot.SpringApplication$AbandonedRunException	getApplicationContext()	null	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/SpringApplication.java	RETURN_NULLABLE	nullable	org.springframework.boot.SpringApplication$AbandonedRunException	getApplicationContext()
METHOD	org.springframework.boot.BootstrapRegistry$InstanceSupplier	get(org.springframework.boot.BootstrapContext)	null	null	/tmp/projects/spring-boot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/BootstrapRegistry.java	RETURN_NULLABLE	nullable	org.springframework.boot.BootstrapRegistry$InstanceSupplier	<T>from(java.util.function.Supplier<T>)
