id	class	method	parent	size	flags	nullable	visibility	non-primitive-return	uri
1	org.springframework.boot.rsocket.messaging.RSocketStrategiesCustomizer	customize(org.springframework.messaging.rsocket.RSocketStrategies.Builder)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/messaging/RSocketStrategiesCustomizer.java
2	org.springframework.boot.rsocket.server.ConfigurableRSocketServerFactory	setPort(int)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/ConfigurableRSocketServerFactory.java
3	org.springframework.boot.rsocket.server.ConfigurableRSocketServerFactory	setFragmentSize(org.springframework.util.unit.DataSize)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/ConfigurableRSocketServerFactory.java
4	org.springframework.boot.rsocket.server.ConfigurableRSocketServerFactory	setAddress(java.net.InetAddress)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/ConfigurableRSocketServerFactory.java
5	org.springframework.boot.rsocket.server.ConfigurableRSocketServerFactory	setTransport(org.springframework.boot.rsocket.server.RSocketServer.Transport)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/ConfigurableRSocketServerFactory.java
6	org.springframework.boot.rsocket.server.ConfigurableRSocketServerFactory	setSsl(org.springframework.boot.web.server.Ssl)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/ConfigurableRSocketServerFactory.java
7	org.springframework.boot.rsocket.server.ConfigurableRSocketServerFactory	setSslStoreProvider(org.springframework.boot.web.server.SslStoreProvider)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/ConfigurableRSocketServerFactory.java
8	org.springframework.boot.rsocket.server.RSocketServer	start()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/RSocketServer.java
9	org.springframework.boot.rsocket.server.RSocketServer	stop()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/RSocketServer.java
10	org.springframework.boot.rsocket.server.RSocketServer	address()	0	0	[]	true	public	true	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/rsocket/server/RSocketServer.java
11	org.springframework.boot.web.server.Ssl	isEnabled()	0	0	[]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/server/Ssl.java
12	org.springframework.boot.web.server.Ssl	setEnabled(boolean)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/server/Ssl.java
13	org.springframework.boot.web.server.Ssl	getClientAuth()	0	0	[]	true	public	true	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/server/Ssl.java
14	org.springframework.boot.web.server.Ssl	setClientAuth(org.springframework.boot.web.server.Ssl.ClientAuth)	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/server/Ssl.java
15	org.springframework.boot.web.server.Ssl	getCiphers()	0	0	[]	true	public	true	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/server/Ssl.java
16	org.springframework.boot.web.server.Ssl	setCiphers(java.lang.String[])	0	1	[false]	false	public	false	file:///home/nima/Desktop/docker/benchmarks/springboot/spring-boot-project/spring-boot/src/main/java/org/springframework/boot/web/server/Ssl.java
